user_id	base_station_id	timestamp_str	duration
user1	BS001	2024-01-01	1800
user1	BS002	2024-01-01	3600
user1	BS003	2024-01-01	2400
user1	BS001	2024-01-01	1200
user2	BS001	2024-01-01	1200
user2	BS004	2024-01-01	2700
user2	BS005	2024-01-01	1800
user2	BS002	2024-01-01	1500
user3	BS002	2024-01-01	2100
user3	BS003	2024-01-01	3000
user3	BS006	2024-01-01	1500
user3	BS001	2024-01-01	900
user4	BS001	2024-01-01	1800
user4	BS002	2024-01-01	2400
user4	BS007	2024-01-01	1200
user4	BS003	2024-01-01	1000
user5	BS003	2024-01-01	2700
user5	BS004	2024-01-01	1800
user5	BS008	2024-01-01	1500
user5	BS005	2024-01-01	1100
